#"Mobility (cm^2/Vsec)(Log Doping), created by Plot Digitizer, 2.5.0 dev"
#"Date: 11/8/12, 12:01:56 AM"
#
#
#22
#Log10 of Impurity Concentration (cm^-3),Mobility (cm^2/Vsec)
21.98989,14.53525
21.69341,14.46995
21.45520,16.62013
21.19754,19.20655
21.03215,24.45648
20.81324,31.89726
20.59921,38.45807
20.47762,41.51499
20.29768,45.88065
20.00596,49.78116
19.89899,51.07919
19.83580,51.50580
19.60240,55.41916
19.48081,58.47609
19.30089,61.96069
19.00412,72.90857
18.91166,77.29350
18.83866,80.80166
18.60011,95.72712
18.47833,105.83248
18.29804,122.97343
18.00543,159.91347
