#"Z(Radius), created by Plot Digitizer, 2.5.0 dev"
#"Date: 11/22/12, 3:24:27 PM"


#45
#Radius,Z
-24.86528,208.77423
61.83385,350.65091
120.08612,549.54767
235.84964,776.64832
380.18353,975.17767
495.94705,1202.27832
640.28094,1400.80774
784.86182,1656.23474
929.56622,1940.11060
1074.14709,2195.53760
1218.85156,2479.41333
1363.55591,2763.28931
1508.26025,3047.16504
1682.02905,3416.26489
1884.49170,3785.24219
2087.20142,4211.11719
2261.21729,4637.11426
2492.49707,5034.41797
2724.02417,5488.61963
2955.67480,5971.26953
3216.38965,6539.14355
3390.52905,6993.58984
3622.17944,7476.23975
3825.25977,7987.46143
4028.21631,8470.23340
4259.86670,8952.88379
4434.00635,9407.33008
4579.45166,9861.89844
4753.59082,10316.34473
4899.40674,10856.25977
5044.85205,11310.82910
5190.66797,11850.74414
5336.73096,12447.55664
5541.29346,13300.16309
5658.16846,13783.30371
5833.17188,14436.89160
5979.35840,15062.15234
6125.17432,15602.06738
6300.05469,16227.20703
6474.68799,16795.44727
6678.13867,17392.01562
6910.03613,17931.56445
7112.86963,18385.88672
7401.78418,18839.84375
7689.71094,19066.20898
